Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,High Score,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
380000,0.021074276,5819.0,0.13992557,8.400000125169754,8.400000125169754,129.0,0.0018780455,0.06904299,0.0002977462,1.0
390000,0.019989962,None,0.14452142,None,None,137.0,0.0011798696,0.07005765,0.0002976889,1.0
400000,0.020235984,3782.0,0.14032494,5.200000077486038,5.200000077486038,143.0,0.0016505104,0.06548757,0.00029763192,1.0
410000,0.024301954,3017.0,0.1486082,3.8000000566244125,3.8000000566244125,151.0,0.0017124135,0.06935197,0.0002975686,1.0
420000,0.020331457,None,0.15417694,None,None,159.0,0.0011234283,0.07758486,0.00029750535,1.0
430000,0.017553348,4613.666666666667,0.14474422,6.666666766007741,6.666666766007741,166.0,0.004146103,0.06464031,0.00029744848,1.0
440000,0.018901512,None,0.14243701,None,None,174.0,0.0011781873,0.0657297,0.00029739155,1.0
450000,0.020365452,6719.0,0.14988154,10.133333484331766,10.133333484331766,181.0,0.0028455567,0.06650825,0.00029732852,1.0
460000,0.020536795,None,0.15201451,None,None,188.0,0.0010829853,0.06433335,0.0002972716,1.0
470000,0.018291015,12651.0,0.15127976,19.200000286102295,19.200000286102295,196.0,0.0019362686,0.07412168,0.0002972146,1.0
480000,0.020506706,17932.0,0.1432819,28.800000429153442,28.800000429153442,203.0,0.0010908953,0.06838186,0.00029715133,1.0
490000,0.018531894,3894.0,0.15265495,4.800000086426735,4.800000086426735,211.0,0.002976494,0.07078406,0.0002970883,1.0
500000,0.018616956,6316.0,0.1505686,9.400000140070915,9.400000140070915,218.0,0.0020190058,0.06949818,0.00029703084,1.0
510000,0.016021192,13748.8,0.14587477,21.120000326633452,21.120000326633452,222.0,0.005523535,0.06167366,0.0002969738,1.0
520000,0.016818833,None,0.14453673,None,None,None,0.0009961932,0.07147279,0.00029691056,1.0
530000,0.016470956,None,0.15854104,None,None,None,0.0011382228,0.06598399,0.0002968472,1.0
540000,0.015607658,3234.0,0.15666838,4.000000059604645,4.000000059604645,None,0.002267093,0.0688307,0.0002967902,1.0
550000,0.016203191,None,0.1595332,None,None,None,0.0011847933,0.06763884,0.00029673334,1.0
560000,0.015718557,7941.0,0.16019115,11.60000017285347,11.60000017285347,None,0.0016740607,0.0722713,0.00029667027,1.0
570000,0.01689283,5733.0,0.15601045,8.00000011920929,8.00000011920929,None,0.00202052,0.07130106,0.00029660697,1.0
